frame,keyword,character
394,coin,銭
395,shallow,浅
396,stop,止
397,walk,歩
398,ford,渉
399,repeatedly,頻
400,agreement,肯
401,undertake,企
402,curriculum,歴
403,warrior,武
404,levy,賦
405,correct,正
406,evidence,証
407,politics,政
408,determine,定
409,lock,錠
410,run,走
411,transcend,超
412,proceed,赴
413,surpass,越
414,just so,是
415,topic,題
416,dike,堤
417,build,建
418,key,鍵
419,prolong,延
420,nativity,誕
421,cornerstone,礎
422,bridegroom,婿
423,garment,衣
424,tailor,裁
425,attire,装
426,back,裏
427,demolition,壊
428,pathetic,哀
429,distant,遠
430,monkey,猿
431,first time,初
432,towel,巾
433,linen,布
434,sail,帆
435,hanging scroll,幅
436,cap,帽
437,curtain,幕
438,canopy,幌
439,brocade,錦
440,market,市
441,persimmon,柿
442,elder sister,姉
443,lungs,肺
444,sash,帯
445,stagnate,滞
446,thorn,刺
447,system,制
448,made in...,製
449,revolve,転
450,technique,芸
451,rain,雨
452,cloud,雲
453,cloudy weather,曇
454,thunder,雷
455,frost,霜
456,winter,冬
457,heavens,天
458,bewitched,妖
459,irrigate,沃
460,bridge,橋
461,attractive,嬌
462,stand up,立
463,cry,泣
464,badge,章
465,vie,競
466,sovereign,帝
467,renunciation,諦
468,juvenile,童
469,pupil,瞳
470,bell,鐘
471,make a deal,商
472,legitimate wife,嫡
473,suitable,適
474,drip,滴
475,enemy,敵
476,spoon,匕
477,scold,叱
478,aroma,匂
479,about that time,頃
480,north,北
481,stature,背
482,compare,比
483,descendants,昆
484,all,皆
485,block letters,楷
486,orderliness,諧
487,mix,混
488,thirst,渇
489,audience,謁
490,brown,褐
491,hoarse,喝
492,kudzu,葛
493,delicious,旨
494,fat,脂
495,visit a shrine,詣
496,I (one),壱
497,every,毎
499,plum,梅
500,sea,海
501,beg,乞
502,drought,乾
503,abdomen,腹
504,duplicate,複
505,lack,欠
506,blow,吹
507,cook,炊
508,song,歌
509,soft,軟
510,next,次
511,briar,茨
512,assets,資
513,figure,姿
514,consult with,諮
515,compensation,賠
516,cultivate,培
517,divide,剖
518,sound,音
519,darkness,暗
520,rhyme,韻
521,discriminating,識
522,mirror,鏡
523,boundary,境
524,deceased,亡
525,blind,盲
526,delusion,妄
527,laid waste,荒
528,ambition,望
529,direction,方
530,disturb,妨
531,boy,坊
532,perfumed,芳
533,obese,肪
534,call on,訪
535,set free,放
536,violent,激
537,undress,脱
538,explanation,説
539,pointed,鋭
540,formerly,曽
541,increase,増
542,presents,贈
543,east,東
544,ridgepole,棟
545,frozen,凍
546,pregnancy,妊
547,courts,廷
548,dye,染
549,burn,燃
550,V.I.P.,賓
551,year-end,歳
552,prefecture,県
553,horse chestnut,栃
554,ground,地
555,pond,池
556,insect,虫
557,lightning bug,蛍
558,snake,蛇
559,rainbow,虹
560,butterfly,蝶
561,single,独
562,silkworm,蚕
563,wind,風
564,self,己
565,rouse,起
566,queen,妃
567,reformation,改
568,scribe,記
569,wrap,包
570,placenta,胞
571,cannon,砲
572,bubble,泡
573,tortoise,亀
574,electricity,電
575,dragon,竜
576,waterfall,滝
577,pork,豚
578,pursue,逐
579,consummate,遂
580,house,家
581,marry into,嫁
582,overpowering,豪
583,intestines,腸
584,location,場
585,hot water,湯
586,sheep,羊
587,beauty,美
588,ocean,洋
589,detailed,詳
590,fresh,鮮
